team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
Y9,Joseph Di Chiara,8,m,360,3,0,214,140,78.0,6,50.0,3,55,9,0.74
CFC,Elijah Adekugbe,8,m,260,0,1,240,185,90.2,11,50.0,7,31,7,0.72
PFC,Victor Blasco,23,m,252,1,1,203,116,67.9,18,33.3,7,45,6,0.7
HFX,Andre Rampersad,18,m,352,0,2,199,137,77.8,4,0.0,7,49,6,0.69
Y9,Ryan Telfer,18,m,350,0,0,171,77,71.4,30,37.5,7,49,7,0.68
FFC,Kyle Bekker,10,m,315,2,0,254,196,80.6,17,0.0,5,34,3,0.67
FFC,Paolo Sabak,24,m,326,1,1,236,176,84.4,5,0.0,5,51,2,0.66
FCE,Keven Steven Alemán Bustos,11,m,336,1,0,216,129,69.6,15,0.0,5,56,6,0.64
FFC,David Choinière,7,m,208,0,1,145,78,100.0,11,100.0,3,45,5,0.64
FCE,Erik Zetterberg,21,m,315,0,0,202,156,84.4,6,100.0,5,26,5,0.64
PFC,Marco Bustos,10,m,262,1,1,193,121,87.5,14,20.0,4,39,1,0.62
CFC,Nikolas Ledgerwood,6,m,199,0,1,129,94,68.0,13,66.7,7,24,6,0.6
HFX,Aboubacar Sissoko,17,m,350,0,0,248,191,76.3,1,0.0,1,53,9,0.59
PFC,Matthew Baldisimo,8,m,260,0,1,188,144,72.9,2,0.0,2,41,11,0.58
PFC,Zachary Verhoven,16,m,45,1,1,90,42,63.6,11,100.0,8,27,4,0.58
FFC,Alexander Achinioti-Jönsson,13,m,337,1,0,245,200,78.9,1,0.0,2,31,5,0.57
Y9,Kyle Porter,19,m,235,1,1,122,71,97.1,17,33.3,4,20,2,0.57
VFC,Brett Levis,17,m,229,0,1,155,102,76.7,3,100.0,2,26,4,0.56
ATO,Malyk Hamilton,2,m,270,0,1,200,120,93.2,13,0.0,2,22,6,0.56
HFX,Louis Béland-Goyette,5,m,255,0,0,187,142,83.9,3,0.0,2,41,9,0.53
VFC,Fraser Aird,33,m,301,1,0,156,104,68.0,9,0.0,7,22,1,0.52
ATO,Francisco Javier Acuña Víctor,8,m,173,2,1,117,86,85.0,4,0.0,3,24,4,0.52
FCE,Hanson Boakai,10,m,240,0,0,161,104,92.6,8,25.0,2,30,7,0.51
VFC,Stefan Cebara,14,m,323,0,0,226,144,80.5,2,0.0,2,30,5,0.51
VFC,Diego Gutiérrez,8,m,264,0,0,214,169,81.3,4,0.0,2,26,6,0.51
VFC,Raphael Ohin,27,m,311,0,0,207,162,84.2,0,0.0,3,24,5,0.51
HFX,Cory Bent,23,m,248,0,0,113,60,60.0,14,30.0,4,42,6,0.51
Y9,Manuel Aparicio,10,m,260,0,0,168,120,66.7,6,0.0,4,34,6,0.5
VFC,Dylan Carreiro,10,m,209,1,0,99,59,81.8,8,0.0,5,20,3,0.45
PFC,Jamar Dixon,22,m,159,1,0,105,75,75.0,0,0.0,2,33,9,0.44
FFC,Elimane Cissé,3,m,127,0,0,145,82,81.8,5,0.0,1,39,9,0.44
HFX,Alex Marshall,7,m,169,0,1,87,49,66.7,3,0.0,2,33,3,0.4
ATO,Ben McKendry,22,m,157,0,0,98,71,58.8,0,0.0,2,18,13,0.4
ATO,Ben Fisk,10,m,243,0,0,108,80,73.1,4,0.0,2,20,3,0.39
Y9,Wataru Murofushi,23,m,214,0,0,139,120,100.0,0,0.0,2,16,0,0.39
CFC,Elliot Simmons,15,m,171,0,0,145,128,60.0,2,0.0,1,17,4,0.38
Y9,Max Ferrari,16,m,127,0,0,68,40,71.4,5,50.0,1,24,3,0.37
ATO,Ajay Khabra,23,m,180,0,0,97,79,92.0,0,0.0,1,20,3,0.36
FCE,Antony Caceres,20,m,99,0,1,63,37,83.3,1,0.0,2,19,3,0.36
PFC,Alessandro Hojabrpour,21,m,183,0,0,83,62,79.2,0,0.0,1,16,6,0.35
CFC,Bruno Zebie,16,m,161,0,0,105,78,80.0,2,0.0,0,18,5,0.35
CFC,Sergio Camargo,10,m,130,1,0,64,39,72.7,4,0.0,1,12,3,0.33
PFC,Noah Verhoeven,19,m,64,0,0,76,63,81.5,2,0.0,2,11,2,0.3
FCE,Yong-Chan Son,7,m,123,0,0,58,24,83.3,4,0.0,2,11,1,0.29
PFC,Sean Young,20,m,100,0,0,61,42,66.7,0,0.0,2,13,3,0.29
ATO,Víctor Martínez Manrique,5,m,180,0,0,84,63,72.4,1,0.0,0,13,0,0.29
FCE,Chance Carter,14,m,83,0,0,45,38,100.0,0,0.0,1,4,1,0.27
VFC,José Antonio Galán Pedrosa,21,m,47,1,0,40,34,91.3,0,0.0,1,4,1,0.27
ATO,Antoine Coupland,11,m,95,0,0,27,12,100.0,0,0.0,0,13,4,0.27
VFC,Dante Campbell,48,m,103,0,0,55,34,71.4,1,0.0,0,15,2,0.26
VFC,Solomon Kojo Antwi,25,m,33,0,0,23,9,75.0,0,0.0,0,10,3,0.22
HFX,Scott Firth,15,m,8,0,0,7,6,100.0,0,0.0,1,0,0,0.2
PFC,Josh Heard,11,m,18,0,0,10,5,100.0,0,0.0,0,4,0,0.2
Y9,Michael Petrasso,21,m,66,0,0,26,12,33.3,3,0.0,0,7,0,0.18
VFC,Moses Dyer,6,m,143,0,0,57,29,0.0,0,0.0,1,21,1,0.12
HFX,Omar Kreim,8,m,41,0,0,21,10,0.0,1,0.0,0,9,2,0.05
Y9,Isaiah Johnston,44,m,10,0,0,4,2,0.0,0,0.0,0,1,1,0.01
