team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall
ATO,Ignacio Zabal Almazán,1,g,630,2,24,36,2,0.86
VFC,James Pantemis,1,g,630,2,19,28,2,0.78
FFC,Triston Henry,1,g,450,2,13,20,3,0.69
PFC,Callum Irving,13,g,360,1,19,22,3,0.66
Y9,Nathan Ingham,29,g,540,2,13,19,2,0.65
FCE,Connor James,1,g,540,0,11,24,2,0.52
HFX,Christian Oxner,50,g,360,2,14,16,1,0.51
CFC,Marco Carducci,1,g,540,3,7,13,0,0.5
HFX,Jason Beaulieu,1,g,270,0,8,13,0,0.22
FFC,Baj Maan,31,g,90,0,6,8,1,0.18
PFC,Nolan Wirth,1,g,180,0,7,12,0,0.18
CFC,Nikolas Giantsopoulos,22,g,90,0,2,3,1,0.12
FCE,Dylon Powley,13,g,90,0,3,4,0,0.07
Y9,Ezequiel Carrasco,37,g,90,0,1,2,0,0.04
