team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall
ATO,Mohamed Kourouma,9,f,180,1,1,0,7,3,74,4,20,3,0.61
CFC,Nico Pasquotti,17,f,225,0,0,0,5,2,66,8,37,4,0.6
CFC,Jordan Brown,9,f,196,2,1,0,4,2,28,2,10,1,0.44
CFC,Marcus Haber,29,f,115,1,0,0,6,3,29,2,29,0,0.42
CFC,Oliver Minatel,7,f,189,0,4,1,2,0,50,1,21,0,0.39
FFC,Kadell Thomas,17,f,109,0,1,0,2,1,25,4,31,4,0.38
ATO,Malcolm Isaiah Shaw,19,f,146,1,1,0,3,2,32,1,17,1,0.37
PFC,Terran Campbell,14,f,140,0,1,0,3,0,20,3,17,5,0.34
VFC,Shaan Hundal,11,f,84,0,3,2,1,1,15,1,8,0,0.31
HFX,Akeem Garcia,11,f,120,1,1,0,2,2,20,0,10,2,0.31
FFC,Marcel Zajac,9,f,109,0,0,0,3,1,31,2,19,3,0.3
FFC,Anthony Novak,23,f,152,1,1,0,1,1,45,0,18,0,0.29
VFC,Mastanabal Kacher,7,f,112,0,2,0,2,0,27,5,10,0,0.25
FFC,Molham Babouli,19,f,118,0,1,0,1,1,31,0,14,2,0.24
Y9,Lowell Wright,80,f,91,1,0,0,3,1,10,0,8,1,0.22
VFC,Austin Ricci,9,f,78,0,0,0,4,3,9,0,7,0,0.22
HFX,João Morelli Neto,22,f,76,1,0,0,1,1,24,1,12,0,0.2
Y9,Álvaro Rivero Sánchez,7,f,89,1,1,0,1,1,10,0,9,0,0.2
FCE,Easton Ongaro,19,f,106,0,0,0,3,0,22,2,22,0,0.2
FFC,Christopher Nanco,11,f,111,0,0,0,2,1,22,1,13,0,0.18
HFX,Ibrahima Sanoh,9,f,27,1,0,0,2,1,6,1,5,0,0.15
CFC,Aribim Pepple,24,f,35,0,1,0,1,1,7,0,9,1,0.14
FCE,Tomi Ameobi,18,f,92,0,1,0,0,0,18,0,17,0,0.13
HFX,Alessandro Riggi,10,f,56,0,0,0,0,0,7,1,9,1,0.09
PFC,Alejandro Díaz Liceága,9,f,40,0,1,0,0,0,12,0,5,1,0.09
VFC,Daryl Fordyce,16,f,45,0,0,0,2,0,13,1,2,0,0.08
VFC,Federico Peña,77,f,24,0,0,0,0,0,12,1,3,1,0.06
ATO,Maksym Kowal,21,f,34,0,0,0,0,0,10,0,8,0,0.05
Y9,Gabriel Monteiro Vasconcelos,99,f,54,0,0,0,0,0,8,0,1,0,0.03
FCE,David Doe,26,f,27,0,0,0,0,0,3,0,2,0,0.02
