team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall
ATO,Mohamed Kourouma,9,f,270,1,2,0,11,4,118,10,32,4,0.75
ATO,Malcolm Isaiah Shaw,19,f,236,1,2,1,5,2,50,1,36,2,0.51
CFC,Nico Pasquotti,17,f,225,0,0,0,5,2,66,8,37,4,0.48
VFC,Shaan Hundal,11,f,116,0,4,2,2,2,21,1,14,0,0.37
CFC,Jordan Brown,9,f,196,2,1,0,4,2,28,2,10,1,0.37
FCE,Easton Ongaro,19,f,196,1,1,0,4,1,28,4,33,0,0.36
CFC,Marcus Haber,29,f,115,1,0,0,6,3,29,2,29,0,0.34
CFC,Oliver Minatel,7,f,189,0,4,1,2,0,50,1,21,0,0.34
PFC,Terran Campbell,14,f,140,0,2,0,4,0,28,3,21,5,0.33
FFC,Kadell Thomas,17,f,109,0,1,0,2,1,25,4,31,4,0.32
VFC,Mastanabal Kacher,7,f,202,0,2,0,3,0,63,6,18,0,0.31
FFC,Molham Babouli,19,f,118,0,2,1,2,1,41,1,19,2,0.31
FFC,Anthony Novak,23,f,152,1,1,0,3,2,46,0,21,0,0.3
FFC,Christopher Nanco,11,f,111,1,0,0,3,2,29,3,24,1,0.3
HFX,Akeem Garcia,11,f,120,1,1,0,2,2,20,0,10,2,0.26
Y9,Álvaro Rivero Sánchez,7,f,151,1,1,0,3,2,17,0,12,0,0.25
FFC,Marcel Zajac,9,f,109,0,0,0,3,1,31,2,19,3,0.24
VFC,Austin Ricci,9,f,154,0,0,0,4,3,23,1,12,1,0.24
PFC,Alejandro Díaz Liceága,9,f,40,0,2,0,3,1,39,1,13,1,0.21
FCE,Tomi Ameobi,18,f,169,0,1,0,1,0,37,0,22,0,0.18
VFC,Federico Peña,77,f,65,0,0,0,1,0,17,1,11,6,0.18
Y9,Lowell Wright,80,f,95,1,0,0,3,1,11,0,8,1,0.18
HFX,João Morelli Neto,22,f,76,1,0,0,1,1,24,1,12,0,0.17
HFX,Ibrahima Sanoh,9,f,27,1,0,0,2,1,6,1,5,0,0.13
CFC,Aribim Pepple,24,f,35,0,1,0,1,1,7,0,9,1,0.11
VFC,Daryl Fordyce,16,f,59,0,0,0,3,0,20,1,7,0,0.09
HFX,Alessandro Riggi,10,f,56,0,0,0,0,0,7,1,9,1,0.07
Y9,Jace Kotsopoulos,12,f,28,0,0,0,0,0,7,0,4,2,0.06
FCE,Prince Amanda,16,f,13,0,0,0,0,0,10,3,5,0,0.05
ATO,Maksym Kowal,21,f,50,0,0,0,0,0,12,0,11,0,0.05
FFC,Gabriel Wiethaeuper-Balbinotti,20,f,0,0,0,0,1,0,12,0,8,0,0.04
Y9,Gabriel Monteiro Vasconcelos,99,f,54,0,0,0,0,0,8,0,1,0,0.02
FCE,David Doe,26,f,27,0,0,0,0,0,3,0,2,0,0.01
