d,m,hs,as,home,hr,away,ar,summary,team
15,8,2.0,2.0,York9 FC,D,Atlético Ottawa,D,D A 2.0 - 2.0 Y9,Atlético Ottawa
19,8,0.0,4.0,Atlético Ottawa,L,Valour FC,W,L H 0.0 - 4.0 VFC,Atlético Ottawa
23,8,2.0,2.0,Atlético Ottawa,D,FC Edmonton,D,D H 2.0 - 2.0 FCE,Atlético Ottawa
27,8,,,Atlético Ottawa,E,Cavalry FC,E,E H nan - nan CFC,Atlético Ottawa
30,8,,,Atlético Ottawa,E,Forge FC,E,E H nan - nan FFC,Atlético Ottawa
2,9,,,Pacific FC,E,Atlético Ottawa,E,E A nan - nan PFC,Atlético Ottawa
6,9,,,HFX Wanderers FC,E,Atlético Ottawa,E,E A nan - nan HFX,Atlético Ottawa
13,8,2.0,2.0,Forge FC,D,Cavalry FC,D,D A 2.0 - 2.0 FFC,Cavalry FC
16,8,0.0,2.0,Valour FC,L,Cavalry FC,W,W A 0.0 - 2.0 VFC,Cavalry FC
20,8,0.0,2.0,FC Edmonton,L,Cavalry FC,W,W A 0.0 - 2.0 FCE,Cavalry FC
23,8,2.0,1.0,Cavalry FC,W,HFX Wanderers FC,L,W H 2.0 - 1.0 HFX,Cavalry FC
27,8,,,Atlético Ottawa,E,Cavalry FC,E,E A nan - nan ATO,Cavalry FC
30,8,,,Cavalry FC,E,Pacific FC,E,E H nan - nan PFC,Cavalry FC
5,9,,,Cavalry FC,E,York9 FC,E,E H nan - nan Y9,Cavalry FC
16,8,2.0,0.0,Forge FC,W,FC Edmonton,L,L A 2.0 - 0.0 FFC,FC Edmonton
20,8,0.0,2.0,FC Edmonton,L,Cavalry FC,W,L H 0.0 - 2.0 CFC,FC Edmonton
23,8,2.0,2.0,Atlético Ottawa,D,FC Edmonton,D,D A 2.0 - 2.0 ATO,FC Edmonton
26,8,1.0,3.0,FC Edmonton,L,HFX Wanderers FC,W,L H 1.0 - 3.0 HFX,FC Edmonton
29,8,,,Valour FC,E,FC Edmonton,E,E A nan - nan VFC,FC Edmonton
1,9,,,FC Edmonton,E,York9 FC,E,E H nan - nan Y9,FC Edmonton
6,9,,,Pacific FC,E,FC Edmonton,E,E A nan - nan PFC,FC Edmonton
13,8,2.0,2.0,Forge FC,D,Cavalry FC,D,D H 2.0 - 2.0 CFC,Forge FC
16,8,2.0,0.0,Forge FC,W,FC Edmonton,L,W H 2.0 - 0.0 FCE,Forge FC
19,8,1.0,1.0,HFX Wanderers FC,D,Forge FC,D,D A 1.0 - 1.0 HFX,Forge FC
22,8,2.0,1.0,Forge FC,W,Pacific FC,L,W H 2.0 - 1.0 PFC,Forge FC
26,8,3.0,2.0,York9 FC,W,Forge FC,L,L A 3.0 - 2.0 Y9,Forge FC
30,8,,,Atlético Ottawa,E,Forge FC,E,E A nan - nan ATO,Forge FC
5,9,,,Forge FC,E,Valour FC,E,E H nan - nan VFC,Forge FC
15,8,2.0,2.0,HFX Wanderers FC,D,Pacific FC,D,D H 2.0 - 2.0 PFC,HFX Wanderers FC
19,8,1.0,1.0,HFX Wanderers FC,D,Forge FC,D,D H 1.0 - 1.0 FFC,HFX Wanderers FC
23,8,2.0,1.0,Cavalry FC,W,HFX Wanderers FC,L,L A 2.0 - 1.0 CFC,HFX Wanderers FC
26,8,1.0,3.0,FC Edmonton,L,HFX Wanderers FC,W,W A 1.0 - 3.0 FCE,HFX Wanderers FC
29,8,,,HFX Wanderers FC,E,York9 FC,E,E H nan - nan Y9,HFX Wanderers FC
2,9,,,Valour FC,E,HFX Wanderers FC,E,E A nan - nan VFC,HFX Wanderers FC
6,9,,,HFX Wanderers FC,E,Atlético Ottawa,E,E H nan - nan ATO,HFX Wanderers FC
15,8,2.0,2.0,HFX Wanderers FC,D,Pacific FC,D,D A 2.0 - 2.0 HFX,Pacific FC
18,8,1.0,1.0,Pacific FC,D,York9 FC,D,D H 1.0 - 1.0 Y9,Pacific FC
22,8,2.0,1.0,Forge FC,W,Pacific FC,L,L A 2.0 - 1.0 FFC,Pacific FC
25,8,2.0,0.0,Pacific FC,W,Valour FC,L,W H 2.0 - 0.0 VFC,Pacific FC
30,8,,,Cavalry FC,E,Pacific FC,E,E A nan - nan CFC,Pacific FC
2,9,,,Pacific FC,E,Atlético Ottawa,E,E H nan - nan ATO,Pacific FC
6,9,,,Pacific FC,E,FC Edmonton,E,E H nan - nan FCE,Pacific FC
16,8,0.0,2.0,Valour FC,L,Cavalry FC,W,L H 0.0 - 2.0 CFC,Valour FC
19,8,0.0,4.0,Atlético Ottawa,L,Valour FC,W,W A 0.0 - 4.0 ATO,Valour FC
22,8,0.0,0.0,York9 FC,D,Valour FC,D,D A 0.0 - 0.0 Y9,Valour FC
25,8,2.0,0.0,Pacific FC,W,Valour FC,L,L A 2.0 - 0.0 PFC,Valour FC
29,8,,,Valour FC,E,FC Edmonton,E,E H nan - nan FCE,Valour FC
2,9,,,Valour FC,E,HFX Wanderers FC,E,E H nan - nan HFX,Valour FC
5,9,,,Forge FC,E,Valour FC,E,E A nan - nan FFC,Valour FC
15,8,2.0,2.0,York9 FC,D,Atlético Ottawa,D,D H 2.0 - 2.0 ATO,York9 FC
18,8,1.0,1.0,Pacific FC,D,York9 FC,D,D A 1.0 - 1.0 PFC,York9 FC
22,8,0.0,0.0,York9 FC,D,Valour FC,D,D H 0.0 - 0.0 VFC,York9 FC
26,8,3.0,2.0,York9 FC,W,Forge FC,L,W H 3.0 - 2.0 FFC,York9 FC
29,8,,,HFX Wanderers FC,E,York9 FC,E,E A nan - nan HFX,York9 FC
1,9,,,FC Edmonton,E,York9 FC,E,E A nan - nan FCE,York9 FC
5,9,,,Cavalry FC,E,York9 FC,E,E A nan - nan CFC,York9 FC
