team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall
ATO,Mohamed Kourouma,9,f,180,1,1,0,7,3,74,4,20,3,0.75
ATO,Malcolm Isaiah Shaw,19,f,146,1,1,0,3,2,32,1,17,1,0.47
CFC,Nico Pasquotti,17,f,135,0,0,0,2,1,37,5,24,3,0.44
CFC,Marcus Haber,29,f,89,1,0,0,3,2,22,2,21,0,0.41
PFC,Terran Campbell,14,f,140,0,1,0,3,0,20,3,17,5,0.41
VFC,Shaan Hundal,11,f,84,0,3,2,1,1,15,1,8,0,0.36
VFC,Mastanabal Kacher,7,f,112,0,2,0,2,0,27,5,10,0,0.33
FFC,Anthony Novak,23,f,88,1,1,0,1,1,27,0,14,0,0.32
Y9,Lowell Wright,80,f,91,1,0,0,3,1,10,0,8,1,0.29
Y9,Álvaro Rivero Sánchez,7,f,89,1,1,0,1,1,10,0,9,0,0.28
HFX,João Morelli Neto,22,f,72,1,0,0,1,1,21,1,11,0,0.28
CFC,Oliver Minatel,7,f,125,0,3,0,1,0,32,0,14,0,0.28
VFC,Austin Ricci,9,f,78,0,0,0,4,3,9,0,7,0,0.24
FFC,Kadell Thomas,17,f,46,0,1,0,1,0,12,3,14,2,0.24
FFC,Christopher Nanco,11,f,111,0,0,0,2,1,22,1,13,0,0.22
FFC,Molham Babouli,19,f,92,0,0,0,1,1,20,0,10,2,0.2
HFX,Ibrahima Sanoh,9,f,9,1,0,0,1,1,2,1,2,0,0.18
CFC,Jordan Brown,9,f,106,0,1,0,1,0,12,1,4,1,0.17
CFC,Aribim Pepple,24,f,35,0,1,0,1,1,7,0,9,1,0.16
HFX,Alessandro Riggi,10,f,56,0,0,0,0,0,7,1,9,1,0.11
PFC,Alejandro Díaz Liceága,9,f,40,0,1,0,0,0,12,0,5,1,0.11
FFC,Marcel Zajac,9,f,45,0,0,0,1,0,7,1,6,0,0.09
VFC,Daryl Fordyce,16,f,45,0,0,0,2,0,13,1,2,0,0.09
FCE,Easton Ongaro,19,f,61,0,0,0,1,0,5,0,9,0,0.09
HFX,Akeem Garcia,11,f,34,0,0,0,1,1,9,0,2,0,0.08
FCE,Tomi Ameobi,18,f,29,0,1,0,0,0,8,0,5,0,0.08
VFC,Federico Peña,77,f,24,0,0,0,0,0,12,1,3,1,0.08
ATO,Maksym Kowal,21,f,34,0,0,0,0,0,10,0,8,0,0.06
Y9,Gabriel Monteiro Vasconcelos,99,f,54,0,0,0,0,0,8,0,1,0,0.04
