team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,Crosses,Touches,TcklMade%,Pass%,DuelsW%,display
Pacific,24.0,rm,Marco Bustos,0.62,849,2.68,2.2,5,0,0,1,3,30,528,22.2,85.0,57.0,Marco Bustos
Cavalry,25.0,lm,Nathan Mavila,0.59,709,2.22,1.1,3,2,0,0,1,46,495,62.5,73.0,45.0,Nathan Mavila
Forge,30.0,cm,Kyle Edward Bekker,0.57,879,1.32,0.83,3,0,0,1,1,49,556,46.4,76.0,46.0,Kyle Bekker
Forge,21.0,cm,Paolo Sabak,0.53,752,2.5,1.93,2,2,0,0,2,9,447,40.0,78.0,51.0,Paolo Sabak
Pacific,26.0,lm,Victor Blasco,0.52,644,2.92,2.16,2,0,0,0,2,42,441,75.0,75.0,56.0,Victor Blasco
York United,28.0,cm,Joseph Di Chiara,0.52,540,2.12,0.27,3,2,0,1,0,9,392,65.0,86.0,49.0,Joseph Di Chiara
Forge,24.0,cm,Alexander Börje Achinioti-Jönsson,0.52,792,2.39,0.0,3,0,0,2,0,1,434,78.3,82.0,62.0,Alexander Achinioti-Jönsson
HFX Wanderers,24.0,cam,João Morelli Neto,0.49,561,2.87,0.34,4,2,0,0,1,18,317,40.0,70.0,41.0,João Morelli
Cavalry,24.0,cm,Elijah Adekugbe,0.49,638,0.52,0.64,1,0,0,0,1,32,547,75.0,85.0,63.0,Elijah Adekugbe
Cavalry,21.0,rm,Mohamed Farsi,0.46,611,0.44,0.78,1,0,0,0,1,36,482,68.2,74.0,60.0,Mohamed Farsi
York United,25.0,cm,Manuel Aparicio,0.45,530,0.44,0.62,2,0,2,0,0,9,379,66.7,79.0,47.0,Manny Aparicio
HFX Wanderers,25.0,dm,Andre Rampersad,0.44,820,0.16,0.99,0,0,0,0,2,5,531,57.1,84.0,58.0,Andre Rampersad
Cavalry,35.0,cm,Nikolas Ledgerwood,0.43,411,0.95,0.63,1,1,0,0,1,32,253,75.0,71.0,48.0,Nik Ledgerwood
Forge,28.0,cm,Maxim Tissot,0.42,394,0.9,2.46,1,0,1,0,2,23,271,60.0,75.0,37.0,Maxim Tissot
