image,name,number,flag,overall,position,link,colour
Nacho-Zabal.jpg,Ignacio Zabal Almazán,1,Spain.png,0.93,g,https://en.wikipedia.org/wiki/Nacho_Zabal,cpl-ato
Triston-Henry.jpg,Triston Henry,Canada.png,0.75,g,https://en.wikipedia.org/wiki/Triston_Henry,cpl-ffc
Daniel-Krutzen.jpg,Daniel Krutzen,5,Belgium.png,0.85,d,https://en.wikipedia.org/wiki/Daniel_Krutzen,cpl-ffc
Dominick-Zator.jpg,Dominick Zator,4,Canada.png,0.71,d,https://en.wikipedia.org/wiki/Dominick_Zator,cpl-cfc
Peter-Schaale.jpg,Peter Schaale,2,Germany.png,0.66,d,https://en.wikipedia.org/wiki/Peter_Schaale,cpl-hfx
Marco-Bustos.png,Marco Bustos,10,Canada.png,0.77,m,https://en.wikipedia.org/wiki/Marco_Bustos,cpl-pfc
Kyle-Bekker.jpg,Kyle Edward Bekker,10,Canada.png,0.75,m,https://en.wikipedia.org/wiki/Kyle_Bekker,cpl-ffc
Matthew-Baldisimo.png,Matthew Baldisimo,8,Canada.png,0.67,m,https://en.wikipedia.org/wiki/Matthew_Baldisimo,cpl-pfc
Paolo-Sabak.png,Paolo Sabak,24,Belgium.png,0.67,m,https://en.wikipedia.org/wiki/Paolo_Sabak,cpl-ffc
Victor-Blasco.png,Victor Blasco,23,Spain.png,0.67,m,https://en.wikipedia.org/wiki/Victor_Blasco,cpl-pfc
Akeem-Garcia.jpg,Akeem Garcia,11,TrinidadandTobago.png,0.71,f,https://en.wikipedia.org/wiki/Akeem_Garcia,cpl-hfx
Mohamed-Kourouma.jpg,Mohamed Kourouma,9,Canada.png,0.67,f,https://en.wikipedia.org/wiki/Mohamed_Kourouma_(soccer),cpl-ato
