team,Age,pos,name,overall,Min,CleanSheet,CrossPunch,Saves,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStoop,KeeperCtch,GoalCncd,display
Forge,27.0,g,Triston Henry,0.72,90,0.5,0.4,2.3,1.6,0.7,0.1,1.1,0.0,0.6,0.8,0.8,Triston Henry
Pacific,27.0,g,Callum Irving,0.65,90,0.17,0.83,3.67,2.67,1.0,0.67,0.67,0.17,1.67,0.83,1.33,Callum Irving
Atlético Ottawa,33.0,g,Ignacio Zabal Almazán,0.62,90,0.29,0.14,3.43,2.14,1.29,0.43,1.29,0.14,0.43,0.29,1.71,Nacho Zabal
HFX Wanderers,24.0,g,Christian Oxner,0.62,90,0.29,1.43,3.14,2.29,0.86,0.29,1.29,0.29,0.57,0.14,0.86,Christian Oxner
Valour,23.0,g,James Pantemis,0.55,90,0.29,0.57,2.71,2.0,0.71,0.57,1.14,0.0,0.29,0.29,1.29,James Pantemis
Cavalry,24.0,g,Marco Carducci,0.45,90,0.33,0.11,1.11,0.67,0.44,0.22,0.33,0.44,0.0,0.0,1.11,Marco Carducci
York United,27.0,g,Nathan Ingham,0.42,90,0.33,0.33,2.17,1.33,0.83,0.67,1.0,0.0,0.0,0.33,1.0,Nathan Ingham
Edmonton,24.0,g,Connor James,0.33,90,0.0,0.0,1.83,1.0,0.83,0.33,0.33,0.0,0.0,0.33,2.17,Connor James
HFX Wanderers,26.0,g,Jason Beaulieu,0.31,90,0.0,0.75,2.5,1.5,1.0,0.25,1.5,0.0,0.5,0.0,2.5,Jason Beaulieu
Pacific,25.0,g,Nolan Wirth,0.24,90,0.25,0.5,2.25,1.25,1.0,0.0,0.25,0.25,0.5,0.0,1.25,Nolan Wirth
Forge,20.0,g,Baj Maan,0.13,90,0.0,2.0,6.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,Baj Maan
Edmonton,24.0,g,Dylon Powley,0.06,90,0.0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,Dylon Powley
Cavalry,26.0,g,Nikolaos Giantsopoulos,0.06,90,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,Niko Giantsopoulos
York United,18.0,g,Ezequiel Carrasco,0.03,90,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Ezequiel Carrasco
HFX Wanderers,36.0,sg,Jan-Michael Williams,0.0,90,,,,,,,,,,,,Jan-Michael Williams
Pacific,29.0,sg,Mark Village,0.0,90,,,,,,,,,,,,Mark Village
Valour,29.0,sg,Matthew Silva,0.0,90,,,,,,,,,,,,Matthew Silva
Atlético Ottawa,27.0,sg,Horace Patient Sobze Zemo,0.0,90,,,,,,,,,,,,Horace Patient Sobze Zemo
Atlético Ottawa,27.0,sg,Richard Soares Gomes,0.0,90,,,,,,,,,,,,Richard Soares Gomes
York United,0.0,sg,Evan Couturier,0.0,90,,,,,,,,,,,,Evan Couturier
