team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
Valour FC,Marco Bustos,22,m,2249,7,3,1417,912,0,74,0,43,299,22,0.9099999999999999
Forge FC,Tristan Borges,4,m,1884,13,5,1307,680,0,77,0,42,356,59,0.8999999999999999
Cavalry FC,Julian Büscher,8,m,1678,5,4,1432,971,0,113,0,38,282,57,0.87
York9 FC,Ryan Telfer,18,m,2216,8,1,1533,832,0,164,0,66,372,52,0.7899999999999999
Forge FC,Kyle Bekker,3,m,2354,4,5,1748,1362,0,98,0,44,173,23,0.77
Pacific FC,Victor Blasco,19,m,1586,6,3,1040,589,0,47,0,27,349,43,0.72
Pacific FC,Ben Fisk,21,m,1662,6,5,859,546,0,65,0,29,153,28,0.69
Cavalry FC,Elijah Adekugbe,16,m,1575,1,4,1185,949,0,10,0,12,196,42,0.6699999999999999
Cavalry FC,Sergio Camargo,10,m,1171,6,3,580,359,0,20,0,22,134,16,0.6699999999999999
York9 FC,Kyle Porter,19,m,1916,2,4,1131,729,0,88,0,31,216,47,0.65
Valour FC,Louis Béland-Goyette,5,m,1772,1,3,1160,882,0,10,0,28,217,54,0.64
York9 FC,Manny Aparicio,10,m,2159,2,2,1788,1273,0,40,0,37,353,56,0.64
Cavalry FC,José Escalante,11,m,1592,4,4,905,450,0,116,0,29,226,32,0.62
Valour FC,Michael Petrasso,9,m,1301,6,5,676,383,0,36,0,22,147,8,0.6
Pacific FC,Alexander González,28,m,1746,0,2,1499,1251,0,6,0,8,216,47,0.57
HFX Wanderers FC,Andre Rampersad,18,m,2003,1,1,1275,921,0,3,0,20,231,51,0.57
Forge FC,Elimane Cissé,6,m,1701,2,1,1078,768,0,5,0,11,231,48,0.52
HFX Wanderers FC,Kodai Iida,9,m,1180,1,2,606,361,1,29,1,19,138,13,0.52
Pacific FC,Matthew Baldisimo,17,m,1809,0,0,1157,909,0,8,0,12,230,47,0.51
Forge FC,Alexander Achinioti-Jönsson,1,m,1671,0,2,1055,822,0,0,0,6,191,42,0.5
Pacific FC,Noah Verhoeven,23,m,1850,0,1,1319,918,0,72,0,25,192,26,0.49
Forge FC,Giuliano Frano,7,m,1960,1,0,1615,1141,0,12,0,12,236,61,0.48
HFX Wanderers FC,Akeem Garcia,11,m,2082,7,0,764,399,0,19,0,15,251,23,0.47
York9 FC,Joseph Di Chiara,8,m,1755,2,1,1352,1001,0,2,0,17,259,52,0.46
York9 FC,Wataru Murofushi,23,m,1718,3,0,1318,1062,0,16,0,25,184,44,0.45
Cavalry FC,Joel Waterman,15,m,1719,1,2,1423,1149,0,6,0,10,187,36,0.45
Forge FC,David Choinière,5,m,975,1,2,583,359,0,15,0,10,147,23,0.44999999999999996
FC Edmonton,James Marcelin,14,m,1699,0,0,1108,873,0,7,0,7,169,25,0.44999999999999996
Pacific FC,Zach Verhoven,16,m,1285,2,2,897,381,0,61,0,20,265,45,0.43
Valour FC,Diego Gutiérrez,8,m,1605,0,1,1225,850,0,14,0,22,196,44,0.41
HFX Wanderers FC,Elliot Simmons,8,m,969,0,0,636,482,0,21,0,9,103,27,0.37
Valour FC,Ali Musse,23,m,740,2,2,352,175,0,16,0,8,110,8,0.35
HFX Wanderers FC,Elton John,5,m,1435,0,1,829,592,0,4,0,7,182,45,0.35
Cavalry FC,Nik Ledgerwood,6,m,1227,3,1,731,484,0,40,0,16,153,38,0.35
FC Edmonton,Ajay Khabra,23,m,1728,0,0,1208,954,0,7,0,7,191,40,0.35
Valour FC,Raphael Ohin,27,m,1461,0,0,1108,764,0,6,0,8,218,38,0.35
Valour FC,Dylan Sacramento,7,m,1135,1,1,716,467,0,16,0,16,164,29,0.33
Valour FC,Dylan Carreiro,10,m,1441,2,2,781,541,0,32,0,25,148,15,0.33
HFX Wanderers FC,Juan Diego Gutiérrez,7,m,1240,2,0,648,353,0,53,0,12,190,24,0.32
FC Edmonton,Bruno Zebie,20,m,1767,1,0,1049,683,0,27,0,9,206,46,0.32
FC Edmonton,Edem Mortotsi,6,m,881,0,2,654,459,0,23,0,12,122,24,0.29
Cavalry FC,Carlos Patiño,20,m,320,0,1,238,122,0,23,0,5,63,9,0.27
FC Edmonton,Yong-Chan Son,7,m,952,0,1,554,310,0,30,0,16,103,29,0.27
Pacific FC,Ahmed Alghamdi,13,m,330,1,0,285,221,1,0,0,2,44,9,0.26
York9 FC,Emmanuel Zambazis,14,m,277,0,1,294,254,1,0,0,2,28,5,0.26
Valour FC,José Galán,21,m,901,0,0,645,494,0,5,0,9,126,26,0.25
FC Edmonton,Tony Tchani,22,m,192,0,0,185,142,0,2,0,1,39,3,0.22
HFX Wanderers FC,Kouamé Ouattara,13,m,229,0,0,124,97,1,0,0,0,26,3,0.22
York9 FC,Emilio Estevez,11,m,627,1,1,393,215,0,9,0,6,113,8,0.21
